BIG_MESSAGE.EXTRACTION.ACTIVATED	Точка сбора активирована
BIG_MESSAGE.EXTRACTION.COMPLETED	Точка сбора завершена
FOCUS.EXTRACTION.FILL_VALUABLES	Заполните точку сбора ценностями
FOCUS.EXTRACTION.AVOID_GRENADES	Уклоняйтесь от гранат!
FOCUS.EXTRACTION.FIND_NEXT	Найдите следующую точку сбора
FOCUS.EXTRACTION.BACK_TO_TRUCK	Возвращайтесь в грузовик!
TUTORIAL.TRANSITION_TEXT	Отличная работа!
TUTORIAL.MOVEMENT.TEXT	Нажимайте [move], чтобы двигаться.
TUTORIAL.MOVEMENT.FOCUS_TEXT	Двигайтесь, чтобы заполнить шкалу!
TUTORIAL.MOVEMENT.DUMMY_TEXT	Нажимайте [move] на клавиатуре, пока шкала не заполнится!
TUTORIAL.JUMPING.TEXT	Нажмите [jump], чтобы прыгнуть.
TUTORIAL.JUMPING.FOCUS_TEXT	Прыгайте, чтобы заполнить шкалу!
TUTORIAL.JUMPING.DUMMY_TEXT	Нажимайте [jump] и прыгайте, пока шкала не заполнится!
TUTORIAL.SNEAKING.TEXT	Нажмите [crouch], чтобы красться. Так монстры реже вас замечают.
TUTORIAL.SNEAKING.FOCUS_TEXT	Крадитесь, чтобы заполнить шкалу!
TUTORIAL.SNEAKING.DUMMY_TEXT	Удерживайте [crouch] и нажимайте [move], пока шкала не заполнится!
TUTORIAL.HIDING.TEXT	Нажимайте [crouch], чтобы залезать под предметы и прятаться.
TUTORIAL.HIDING.FOCUS_TEXT	Спрячьтесь, чтобы заполнить шкалу!
TUTORIAL.HIDING.DUMMY_TEXT	Удерживайте [crouch], залезьте под предмет и оставайтесь там, пока шкала не заполнится!
TUTORIAL.SPRINTING.TEXT	Удерживайте [sprint], чтобы бежать. Это расходует энергию.
TUTORIAL.SPRINTING.FOCUS_TEXT	Бегайте, чтобы заполнить шкалу!
TUTORIAL.SPRINTING.DUMMY_TEXT	Удерживайте [sprint] и нажимайте [move], чтобы бежать, пока шкала не заполнится! Если энергия кончилась, подождите, пока она восстановится!
TUTORIAL.TUMBLING.TEXT	Разбегитесь и нажмите [tumble], чтобы красиво упасть. Прыжок тоже помогает!
TUTORIAL.TUMBLING.FOCUS_TEXT	Бегайте, прыгайте и падайте, чтобы заполнить шкалу!
TUTORIAL.TUMBLING.DUMMY_TEXT	Разбегитесь на [sprint], прыгните на [jump] и нажмите [tumble], чтобы броситься вперёд. Повторяйте, пока шкала не заполнится!
TUTORIAL.GRABBING.TEXT	Берите предметы на [grab].
TUTORIAL.GRABBING.FOCUS_TEXT	Поносите эту штуку, чтобы заполнить шкалу!
TUTORIAL.GRABBING.DUMMY_TEXT	Наведитесь на предмет и удерживайте [grab], пока шкала не заполнится!
TUTORIAL.PUSHING_AND_PULLING.TEXT	Нажимайте [push], чтобы менять расстояние до предмета в руках.
TUTORIAL.PUSHING_AND_PULLING.FOCUS_TEXT	Измените расстояние до предмета в руках!
TUTORIAL.PUSHING_AND_PULLING.DUMMY_TEXT	Удерживайте [grab] на предмете и нажимайте [push], чтобы менять расстояние до него!
TUTORIAL.ROTATING.TEXT	Вращайте предметы в руках на [grab2].
TUTORIAL.ROTATING.FOCUS_TEXT	Покрутите предмет, чтобы заполнить шкалу!
TUTORIAL.ROTATING.DUMMY_TEXT	Удерживая предмет на [grab], зажмите [grab2] и водите прицелом, чтобы вращать его. Вращайте, пока шкала не заполнится!
TUTORIAL.ITEM_TOGGLING.TEXT	Возьмите предмет и нажмите [interact], чтобы включить или выключить его.
TUTORIAL.ITEM_TOGGLING.FOCUS_TEXT	Повключайте и повыключайте эту штуку!
TUTORIAL.ITEM_TOGGLING.DUMMY_TEXT	Возьмите шар на [grab] и включайте-выключайте его на [interact], пока шкала не заполнится!
TUTORIAL.INVENTORY_FILL.TEXT	Возьмите предмет и нажмите [inventory1]/[inventory2]/[inventory3], чтобы убрать его в инвентарь.
TUTORIAL.INVENTORY_FILL.FOCUS_TEXT	Заполните весь инвентарь!
TUTORIAL.INVENTORY_FILL.DUMMY_TEXT	Удерживая предмет на [grab], нажмите [inventory1]/[inventory2]/[inventory3]. Заполните все ячейки инвентаря, чтобы шкала заполнилась!
TUTORIAL.INVENTORY_EMPTY.TEXT	Нажимайте [inventory1]/[inventory2]/[inventory3], чтобы доставать предметы из инвентаря.
TUTORIAL.INVENTORY_EMPTY.FOCUS_TEXT	Освободите весь инвентарь!
TUTORIAL.INVENTORY_EMPTY.DUMMY_TEXT	Нажимайте [inventory1]/[inventory2]/[inventory3] и освободите все ячейки, чтобы заполнить шкалу!
TUTORIAL.MAP.TEXT	Нажмите [map], чтобы открыть карту. Карта <b><u>ВАЖНА</u></b> для навигации.
TUTORIAL.MAP.FOCUS_TEXT	Посмотрите на карту!
TUTORIAL.MAP.DUMMY_TEXT	Удерживайте [map] и смотрите на карту, пока шкала не заполнится!
TUTORIAL.CART_HANDLING_1.TEXT	Это Т.Е.Л.Е.Г.А. Возьмитесь за ручку.
TUTORIAL.CART_HANDLING_1.FOCUS_TEXT	Покатайте Т.Е.Л.Е.Г.У. немного!
