# Реплики, которые игра пишет в чат от лица персонажа и отправляет в озвучку.
# Слева — английский текст ровно как в коде игры, справа — перевод.
# Совпадение точное, посимвольное.
# Строки с ключом [LEFT_BEHIND] — список первых реплик брошенного игрока,
# игра выбирает одну случайно.

# Обратный отсчёт до самоуничтожения (сами цифры игра пишет отдельно)
I need to get to the truck in...	Мне надо попасть в грузовик за...

# Последняя реплика брошенного игрока
betrayal	предательство
betrayal detected	обнаружено предательство
i'm sorry	простите
I failed	я подвёл
oh no, not again	о нет, только не снова
teamwork makes the dream work	вместе мы сила
I thought we were friends	я думал, мы друзья
I thought we were a team	я думал, мы команда
I thought we were in this together	я думал, мы заодно
I thought we were a family	я думал, мы семья

# Отсчёт остановлен
SELF DESTRUCT SEQUENCE CANCELLED!	ПРОЦЕСС САМОУНИЧТОЖЕНИЯ ОТМЕНЁН!

# Прощание перед самоуничтожением
i'm out	я всё
Farewell	прощайте
Adieu	адьё
sayonara	сайонара
Auf Wiedersehen	ауф видерзейн
adios	адиос
ciao	чао
Au Revoir	оревуар
hasta la vista	аста ла виста
see You Later	до встречи
later	бывайте
peace OUT	всем мира
catch you later	ещё увидимся
later gator	покеда
toodles	пока-пока
bye bye	бай-бай
bye	пока
AAAAAAAAAAAAH!	АААААААААААА!
AAAAAAAAAAAAAAAAAAAAAAAH!	ААААААААААААААААААААААА!
bye... ... oh?	пока... ... ой?
this will hurt	будет больно
it's over for me	мне конец
why me?	почему я?
I'm sorry	мне жаль
i see the light	я вижу свет
sad but necessary	грустно, но надо

# Падение с высоты
Ouch! Ouch! Ouch!	Ай! Ай! Ай!
Ow! Ow! Ow!	Ой! Ой! Ой!
Oof! Oof! Oof!	Уф! Уф! Уф!
Owie! Wowie! Zowie!	Ойки! Войки! Зойки!
Ouchie! Ouchie! Ouchie!	Ойёй! Ойёй! Ойёй!
error error error	ошибка ошибка ошибка
system error	системная ошибка
fatal error	критическая ошибка
error 404	ошибка 404
runtime error	ошибка выполнения
imma falling	я падаю
falling over	падаююююю
ooooooooh!	оооооооо!
oh nooooo!	о нееееет!
AAAAAAH! AAH!	АААААА! АА!
AAAAAAAAAAAAAAH!	АААААААААААААА!
AAAAAAAAAAAAAAAAAAAAAAAAAAAH!	ААААААААААААААААААААААААААА!
OH! OH! OH!	ОЙ! ОЙ! ОЙ!
AH! AH! AH!	АЙ! АЙ! АЙ!

# Первая реплика брошенного игрока
[LEFT_BEHIND]	Меня бросили одного.
[LEFT_BEHIND]	Они ушли без меня...
[LEFT_BEHIND]	Я им доверял. Зря.
[LEFT_BEHIND]	Почему меня не подождали?
[LEFT_BEHIND]	Команда меня предала.
[LEFT_BEHIND]	Все уехали. Я остался.
[LEFT_BEHIND]	Что я сделал не так?
[LEFT_BEHIND]	Меня забыли в темноте.
[LEFT_BEHIND]	Друзья бросили меня без слова.
[LEFT_BEHIND]	Не верю, что они так поступили.

# Реплики любовного зелья. Игра берёт случайный шаблон и подставляет в него
# случайные слова из словарей ниже — так же, как в оригинале.
# Прилагательные стоят в мужском роде, глаголы — в неопределённой форме:
# {playerName} — это ник, род по нему не определить.

# Шаблоны фраз — 87
[LOVE_TEMPLATE]	Вообще не могу, до чего {playerName} {adjective}.
[LOVE_TEMPLATE]	{playerName} делает всё {intensifier} по-настоящему.
[LOVE_TEMPLATE]	Почему {playerName} такой {adjective}? Такая милота!
[LOVE_TEMPLATE]	Каждый раз, когда я вижу {playerName}, хочется {intransitiveVerb}.
[LOVE_TEMPLATE]	{playerName} просто {intensifier} {adjective}, понимаете?
