MAIN.PRIVATE_GAME	Своя игра
MAIN.PUBLIC_GAME	Открытая игра
MAIN.JOIN_FRIEND	Зайти к другу
MAIN.SINGLEPLAYER	Одиночная игра
MAIN.TUTORIAL	Обучение
MAIN.SETTINGS	Настройки
MAIN.QUIT_GAME	Выйти из игры
POPUP.PRIVATE_GAME.HEADER	Создать игру
POPUP.PRIVATE_GAME.BODY	Хостить должен друг\nс лучшим компьютером.\n\nЭто про вас?
POPUP.PRIVATE_GAME.OPT1	Ха-ха, да!  :)
POPUP.PRIVATE_GAME.OPT2	Не я...  :'(
POPUP.PUBLIC_GAME.HEADER	Внимание
POPUP.PUBLIC_GAME.BODY	В игре со случайными людьми вам могут попасться читеры или просто очень злые ребята...
POPUP.PUBLIC_GAME.OPT1	Я понял
POPUP.PUBLIC_GAME.OPT2	Нет, спасибо :(
POPUP.QUIT_GAME.HEADER	Выход из игры
POPUP.QUIT_GAME.BODY	Закрыть игру полностью?
POPUP.QUIT_GAME.OPT1	Да
POPUP.QUIT_GAME.OPT2	Нет
POPUP.SELF_DESTRUCT.HEADER	Самоуничтожение
POPUP.SELF_DESTRUCT.BODY	Вы это серьёзно?
POPUP.SELF_DESTRUCT.OPT1	Со мной покончено
POPUP.SELF_DESTRUCT.OPT2	Нет
SAVES.GO_BACK	< Назад
SAVES.NEW_GAME	Новая игра
SAVES.SINGLEPLAYER_MODE	Одиночный режим
SAVES.MULTIPLAYER_MODE	Совместный режим
SAVES.HEADER	Сохранения
SAVES.PAGE_INFO.HEADER	Сохранения
SAVES.PAGE_INFO.DESCRIPTION	Здесь всё веселье, которое у вас было, и возможность продолжить ровно с того места, где вы остановились.
SAVES.SAVE_INFO.DELETE_SAVE	Удалить сохранение
SAVES.SAVE_INFO.LOAD_SAVE	Загрузить
SAVES.SAVE_INFO.USE_BACKUP	Взять из копии
SAVES.SAVE_INFO.CURRENT_MOON	Текущая луна:
POPUP.MAIN_MENU.OPT1	Да
POPUP.MAIN_MENU.BODY	Выйти в главное меню?
POPUP.MAIN_MENU.HEADER	Главное меню
SAVES.SAVE_INFO.TOTAL_HAUL	Всего добыто:
POPUP.LOAD_SAVE.HEADER	Загрузка
POPUP.LOAD_SAVE.BODY	Загрузить это сохранение?
POPUP.LOAD_SAVE.OPT1	Да!
POPUP.LOAD_SAVE.OPT2	Нет
POPUP.DELETE_SAVE.HEADER	Удаление сохранения
POPUP.DELETE_SAVE.BODY	Вы ТОЧНО УВЕРЕНЫ, что хотите удалить это сохранение НАВСЕГДА?
POPUP.DELETE_SAVE.OPT1	Да! :')
POPUP.DELETE_SAVE.OPT2	Нет...
POPUP.USE_BACKUP.HEADER	Восстановление из копии
POPUP.USE_BACKUP.BODY	Перезаписать это сохранение последней резервной копией?\n\nЭто необратимо!
POPUP.USE_BACKUP.OPT1	Да!
POPUP.USE_BACKUP.OPT2	Нет
REGIONS.HEADER	Регионы
REGIONS.BACK	Назад
REGIONS.REGION.PICK_BEST_REGION	Выбрать лучший регион
REGIONS.REGION.ASIA	Азия
REGIONS.REGION.AU	Австралия
REGIONS.REGION.CAE	Канада, восток
REGIONS.REGION.CN	Материковый Китай
REGIONS.REGION.EU	Европа
REGIONS.REGION.HK	Гонконг
REGIONS.REGION.IN	Индия
REGIONS.REGION.JP	Япония
REGIONS.REGION.ZA	ЮАР
REGIONS.REGION.SA	Южная Америка
REGIONS.REGION.KR	Южная Корея
REGIONS.REGION.TR	Турция
REGIONS.REGION.UAE	ОАЭ
REGIONS.REGION.US	США, восток
REGIONS.REGION.USW	США, запад
REGIONS.REGION.USSC	США, юг
SAVES.SAVE_INFO.SORRY	Извините!
SAVES.SAVE_INFO.PRESS_DELETE	Нажмите «Удалить сохранение», \nчтобы стереть всю папку сохранений.
SAVES.SAVE_INFO.PLAYER_LIST	{players:list:{}|,   |   и   }
SAVES.SAVE_INFO.CORRUPTED_SAVE_FILE	Повреждённое сохранение
SAVES.SAVE_FILE.UH_OH	Ой-ой!
SAVES.SAVE_FILE.CORRUPTED_SAVE_FILE	Повреждённое сохранение
SAVES_RENAME.RENAME_SAVE	Переименовать
SAVES_RENAME.BACK	Назад
SAVES_RENAME.CONFIRM	Подтвердить
SAVES.SAVE_INFO.CLICK_TO_RENAME	(Нажмите, чтобы переименовать)
SETTINGS.HEADER	Настройки
SETTINGS.GAMEPLAY	Игра
SETTINGS.GRAPHICS	Графика
SETTINGS.AUDIO	Звук
SETTINGS.CONTROLS	Управление
SETTINGS.LANGUAGE	Язык
SETTINGS.BACK	Назад
SETTINGS.BOOL.ON	Вкл
SETTINGS.BOOL.OFF	Выкл
SETTINGS.BOOL.TOGGLE	Переключение
SETTINGS.BOOL.HOLD	Удержание
SETTINGS.GAMEPLAY.HEADER	Игра
SETTINGS.GAMEPLAY.RESET_TO_DEFAULT_SETTINGS	Сбросить настройки
SETTINGS.GAMEPLAY.TIPS	Подсказки
SETTINGS.GAMEPLAY.PLAYER_NAMES	Имена игроков
SETTINGS.GAMEPLAY.PHOTOSENSITIVITY	Светочувствительность
SETTINGS.GAMEPLAY.ARACHNOPHOBIA	Арахнофобия
SETTINGS.GAMEPLAY.AIM_SENSITIVITY	Чувствительность
SETTINGS.GAMEPLAY.CAMERA_SMOOTHING	Сглаживание камеры
SETTINGS.GAMEPLAY.CAMERA_SHAKE	Тряска камеры
SETTINGS.GAMEPLAY.CAMERA_NOISE	Дрожание камеры
SETTINGS.GAMEPLAY.CAMERA_ANIMATION	Анимация камеры
SETTINGS.GAMEPLAY.INVERT_VERICAL_AIM	Инверсия оси Y
SETTINGS.GAMEPLAY.ITEM_UNEQUIP_AUTO_HOLD	Автозахват предмета
SETTINGS.GAMEPLAY.RICH_PRESENCE	Статус в Discord
SETTINGS.GAMEPLAY.COSMETICS	Косметика
SETTINGS.GRAPHICS.RESET_TO_DEFAULT_SETTINGS	Сбросить настройки
SETTINGS.GRAPHICS.WINDOW_MODE	Режим окна
SETTINGS.GRAPHICS.VSYNC	V-Sync
SETTINGS.GRAPHICS.GAMMA	Гамма
SETTINGS.GRAPHICS.MAX_FPS	Максимум FPS
SETTINGS.GRAPHICS.LIGHT_DISTANCE	Дальность света
SETTINGS.GRAPHICS.SHADOW_QUALITY	Качество теней
SETTINGS.GRAPHICS.SHADOW_DISTANCE	Дальность теней
SETTINGS.GRAPHICS.MOTION_BLUR	Размытие движения
SETTINGS.GRAPHICS.LENS_DISTORTION	Искажение линзы
SETTINGS.GRAPHICS.BLOOM	Свечение
SETTINGS.GRAPHICS.CHROMATIC_ABERRATION	Аберрация
SETTINGS.GRAPHICS.GRAIN	Зернистость
SETTINGS.GRAPHICS.GLITCH_LOOP	Помехи
SETTINGS.GRAPHICS.PIXELATION	Пикселизация
SETTINGS.AUDIO.HEADER	Звук
SETTINGS.AUDIO.RESET_TO_DEFAULT_SETTINGS	Сбросить настройки
SETTINGS.AUDIO.MASTER_VOLUME	Общая громкость
SETTINGS.AUDIO.MUSIC_VOLUME	Громкость музыки
SETTINGS.AUDIO.PROXIMITY_VOICE_VOLUME	Громкость голоса
SETTINGS.AUDIO.MICROPHONE	Микрофон
SETTINGS.AUDIO.MICROPHONE_VOLUME	Громкость микрофона
SETTINGS.AUDIO.PUSH_TO_TALK	Говорить по кнопке
SETTINGS.CONTROLS.HEADER	Управление
SETTINGS.CONTROLS.RESET_TO_DEFAULT_SETTINGS	Сбросить настройки
SETTINGS.CONTROLS.MOVEMENT	Передвижение
SETTINGS.CONTROLS.MOVE_FORWARD	Вперёд
SETTINGS.CONTROLS.MOVE_LEFT	Влево
